No;Date;Shift;Place of Occurrence;Root Cause;Accident Category;Accident Type;Detailed Root Cause;Error Types
92;Monday, 01 March 2021;II;Vessel;Machine;Stevedoring Occurrences;Loading and Unloading Accident;;
93;Saturday, 27 February 2021;I;CY;Method;Cargodoring Occurrences;Fire;;
94;Wednesday, 17 March 2021;I;CY;Method;Cargodoring Occurrences;Traffic Collision;;
95;Saturday, 27 March 2021;III;CY;Method;Cargodoring Occurrences;Traffic Collision;;
96;Thursday, 01 April 2021;III;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
97;Thursday, 01 April 2021;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
98;Saturday, 03 April 2021;I;CY;Method;Cargodoring Occurrences;Traffic Collision;;
99;Sunday, 11 April 2021;III;CY;Method;Cargodoring Occurrences;Traffic Collision;;
100;Friday, 16 April 2021;III;CY;Method;Cargodoring Occurrences;Traffic Collision;;
101;Saturday, 17 April 2021;III;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
102;Friday, 23 April 2021;II;Quay;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
103;Tuesday, 27 April 2021;III;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
104;Sunday, 09 May 2021;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
105;Monday, 10 May 2021;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
106;Friday, 21 May 2021;III;CY;Method;Cargodoring Occurrences;Traffic Collision;;
107;Sunday, 30 May 2021;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
108;Wednesday, 09 June 2021;II;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
109;Friday, 11 June 2021;II;CY;Method;Cargodoring Occurrences;Traffic Collision;;
110;Saturday, 12 June 2021;III;CY;Method;Cargodoring Occurrences;Traffic Collision;;
111;Saturday, 12 June 2021;I;CY;Method;Cargodoring Occurrences;Traffic Collision;;
112;Saturday, 12 June 2021;II;CY;Method;Cargodoring Occurrences;Traffic Collision;;
113;Sunday, 13 June 2021;II;CY;Method;Cargodoring Occurrences;Traffic Collision;;
114;Saturday, 19 June 2021;III;CY;Method;Cargodoring Occurrences;Traffic Collision;;
115;Monday, 21 June 2021;I;CY;Method;Cargodoring Occurrences;Traffic Collision;;
116;Monday, 21 June 2021;II;CY;Method;Cargodoring Occurrences;Loading and Unloading Accident;;
117;Sunday, 27 June 2021;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
118;Tuesday, 29 June 2021;I;Quay;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
119;Sunday, 04 July 2021;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
120;Tuesday, 06 July 2021;II;CY;Method;Cargodoring Occurrences;Traffic Collision;;
121;Wednesday, 07 July 2021;III;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
122;Tuesday, 13 July 2021;III;CY;Method;Cargodoring Occurrences;Traffic Collision;;
123;Sunday, 18 July 2021;III;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
124;Sunday, 18 July 2021;I;CY;Method;Cargodoring Occurrences;Loading and Unloading Accident;;
125;Sunday, 18 July 2021;I;CY;Method;Cargodoring Occurrences;Traffic Collision;;
126;Monday, 19 July 2021;I;Vessel;Method;Work Accident;Worker hits while working;;
127;Friday, 23 July 2021;II;CY;Method;Cargodoring Occurrences;Worker Sick;;
128;Monday, 26 July 2021;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
129;Thursday, 29 July 2021;I;CY;Method;Cargodoring Occurrences;Traffic Collision;;
130;Thursday, 29 July 2021;I;Vessel;Machine;Stevedoring Occurrences;Loading and Unloading Accident;;
131;Tuesday, 03 August 2021;III;CY;Method;Cargodoring Occurrences;Loading and Unloading Accident;;
132;Tuesday, 03 August 2021;II;CY;Method;Cargodoring Occurrences;Loading and Unloading Accident;;
133;Tuesday, 03 August 2021;II;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
134;Monday, 16 August 2021;III;CY;Method;Cargodoring Occurrences;Traffic Collision;;
135;Sunday, 29 August 2021;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
136;Thursday, 02 September 2021;III;CY;Method;Cargodoring Occurrences;Traffic Collision;;
137;Friday, 03 September 2021;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
138;Sunday, 12 September 2021;III;CY;Method;Cargodoring Occurrences;Traffic Collision;;
139;Tuesday, 14 September 2021;I;CY;Method;Cargodoring Occurrences;Worker Sick;;
140;Thursday, 16 September 2021;II;Vessel;Method;Work Accident;Worker hits while working;;
141;Tuesday, 21 September 2021;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
142;Friday, 24 September 2021;I;CY;Method;Cargodoring Occurrences;Traffic Collision;;
143;Sunday, 26 September 2021;II;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
144;Friday, 01 October 2021;I;CY;Method;Cargodoring Occurrences;Loading and Unloading Accident;;
145;Saturday, 02 October 2021;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
146;Saturday, 02 October 2021;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
147;Sunday, 03 October 2021;II;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
148;Wednesday, 13 October 2021;III;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
149;Saturday, 16 October 2021;II;CY;Method;Cargodoring Occurrences;Traffic Collision;;
150;Sunday, 17 October 2021;III;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
151;Monday, 18 October 2021;II;CY;Method;Cargodoring Occurrences;Traffic Collision;;
152;Saturday, 16 October 2021;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
153;Sunday, 24 October 2021;II;CY;Method;Cargodoring Occurrences;Loading and Unloading Accident;;
154;Saturday, 30 October 2021;I;CY;Method;Cargodoring Occurrences;Loading and Unloading Accident;;
155;Friday, 05 November 2021;II;CY;Method;Work Accident;Worker gets pinched;;
156;Tuesday, 09 November 2021;II;Quay;Method;Cargodoring Occurrences;Loading and Unloading Accident;;
157;Sunday, 14 November 2021;III;CY;Method;Cargodoring Occurrences;Traffic Collision;;
158;Sunday, 14 November 2021;I;CY;Method;Cargodoring Occurrences;Traffic Collision;;
159;Tuesday, 16 November 2021;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
160;Tuesday, 23 November 2021;II;CY;Method;Cargodoring Occurrences;Traffic Collision;;
161;Saturday, 04 December 2021;I;Vessel;Method;Work Accident;Worker hits while working;;
162;Monday, 06 December 2021;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
